people,count
jack b. weinstein,7
margaret a. berger,7
alexander acosta,7
peugh,7
moten,7
garcia,7
kelso,7
hillary clinton,7
keith raniere,7
bernstein,7
ghislaine noelle marion maxwell,7
barr,7
horowitz,7
pizarro,7
"goodman, j.",7
forgas,7
summit,7
bagaric,7
palmer,7
tutty,7
warren ji,7
"zhu, b.",7
"lin, c.",7
"bernstein, d.m.",7
"frenda, s.j.",7
"lynn, s.j.",7
rada rt,7
saltzman,7
judge engelmayer,7
resnick pj,7
freud,7
bender,7
gardner,7
erdfelder,7
"smith, d. w.",7
"saunders, b. e.",7
rappeport jr,7
michael miller,7
hardy,7
walker,7
lieberman,7
joseph,7
mulder,7
paul kane,7
morgan,7
judge netburn,7
meredith schultz,7
mccawley,7
werner,7
leocal,7
landgraf,7
stanley pottinger,7
allen,7
nejad,7
marion,7
ms. villafana,7
el-sadig,7
andrew c. lourie,7
stogner,7
weinberg,7
jeff schantz,7
mr. sud,7
chris tucker,7
chapell,7
jeff shantz,7
mary alessi,7
marvin minsky,7
ms. kellen,7
ms. swain,7
shaun nedwick,7
jose alessi,7
mrs. s,7
earl iv,7
william tucker,7
janusz banasiack,7
toni,7
mrs l,7
daniel,7
billy,7
det. joe recarey,7
reyes efrain,7
l. cristina griffith,7
(b)(6)&(b)(7)(c),7
"skipper-scott, s.",7
morning watch operations lieutenant,7
c. edge,7
edward friedland,7
ray ormon,7
judge richard m. berman,7
dr. s. allen counter,7
dr. benedict h. gross,7
michael j. fitzpatrick,7
kenneth hyle,7
bernie madoff,7
lawrence vogelman,7
richard d. kahn,7
caparros,7
benatar,7
david perry,7
conway,7
"nathan, j.",7
banki,7
jack,7
leslie,7
peg ugland,7
david rodger,7
kellen/sarah,7
biddle/sophie,7
glenn,7
linda,7
judge pickholz,7
j,7
andrew a. rohrbach,7
ms. donaleski,7
moya goretti,7
ms. noel,7
alicia,7
heidi fliess,7
chuck,7
alina,7
rush limbaugh,7
jeff williams,7
g.m.,7
larry visoaki,7
michelle pagan,7
mel-y-ssa,7
dell riley kiraly,7
erwin mayer,6
mr. brubaker,6
kevin,6
hussman,6
ashfar,6
clark,6
phil allen,6
korfant,6
david k. parse,6
paul schoeman,6
barry h. berke,6
mr. sklarsky,6
mr. benhamou,6
lebedev,6
gair,6
colombo,6
indyke,6
mr. hernandez,6
jesus,6
mccourty,6
wilkerson,6
theresa parse,6
parker,6
mr. feinberg,6
bridget rodgers,6
abu-jihaad,6
nesbitt kuyrkendall,6
chacko,6
watson,6
friedman,6
owen,6
washington,6
joseph pecorino,6
mr. lopez,6
ben sasse,6
kiteley,6
stogdon,6
"keating, j.p.",6
minor victim-7,6
ceci,6
bruck,6
saldarriaga,6
kyles,6
lindsey,6
saunders be,6
wagoner r,6
jessica engle,6
witness-2,6
witness-4,6
ullman,6
maier,6
schnyder,6
simon,6
gonyer,6
pacheco ca,6
blakey re,6
abraham j,6
platt de,6
chapman m,6
jane doe-4,6
plummer,6
leclerc,6
wortley,6
martell da,6
"chen, c.",6
"laney, c.",6
london,6
turner,6
brackenridge,6
gilchrist,6
tolou-shams m,6
"berkowitz, s.r.",6
wall b,6
blau,6
hirschman,6
browne,6
herman,6
gagnier,6
rossmiller,6
baker sp,6
judge garaufis,6
matthew russell lee,6
"lanning, k. v.",6
lynn,6
hughes,6
paulino,6
christine n. walz,6
regan,6
birnbaum,6
burgess,6
al-moayad,6
nimely,6
dorothy,6
jordan,6
libby,6
grunewald,6
fernandez,6
weingarten,6
lilly sanchez,6
andy lourie,6
jackman,6
special agent,6
michele dargan,6
leo sure chief,6
mr. chiuchiolo,6
franks,6
john ashcroft,6
ferman,6
ms. constand,6
george w. bush,6
bortnovsky,6
matthew i. menchel,6
ann marie c. villafaña,6
skelos,6
jeffries,6
chief reiter,6
gentile,6
marrero,6
leahy,6
jeffrey sloman,6
gregory parkinson,6
tracy chapell,6
ron burckle,6
max,6
eric gany,6
mr. dubin,6
gmax,6
richard barnett,6
sergeant michael dawson,6
annette badger,6
meder,6
cim espinosa,6
agent maguire,6
trump,6
special agent maguire,6
detective joseph recarey,6
dave mulligan,6
g. max,6
y. doe,6
chelsey,6
lou dog,6
det. melnichok,6
"bedoya, brooke",6
lord of the fire,6
lisa (ethel),6
zack brian,6
yellowbeetie,6
ad,6
benjamin bryan,6
david a. cruz,6
william l. tucker,6
paul j. abrams,6
linda c. greene,6
guy p. fronstin,6
linds,6
samatha,6
marcinkova,6
jesse,6
d/s ballard,6
josh,6
lynds,6
reagan,6
jaimie,6
cory,6
mary williams,6
stacey taylor,6
johanna,6
asa daliah weiss,6
kara,6
janusz banasaik,6
jennifer,6
efrain reyes,6
shirley v. skipper,6
jeffrey e,6
hugh j. hurwitz,6
j. petrucci,6
andre matevousian,6
nancy ayers,6
judge sullivan,6
john csakany,6
kathy,6
[b](6); [b](7)(c),6
marc dreier,6
n.f.,6
abdellatif el mokadem,6
john s. davis,6
defendant's husband,6
dashawn robertson,6
potential defense witnesses,6
kashoggi,6
sell,6
richard j. durbin,6
barack obama,6
judge keenan,6
"william s. duffey, jr.",6
patrick ho,6
hans peterson,6
chris everdell,6
hung,6
bohn,6
botero,6
cilins,6
georgiou,6
kazeem,6
stanton,6
heather mann,6
david redding,6
keith e. rooney,6
henry rosovsky,6
miles alexander,6
jc,6
d.oakley,6
tayler/emma,6
jeffey,6
george mitchell,6
beller/harry,6
schoettle/d,6
riley,6
cabranes,6
barnett/richard,6
dove,6
ms. gaffney,6
ms. musumeci,6
ashraf,6
james l. brochin,6
robert a. katzmann,6
kelly surina,6
l. menninger,6
papa,6
paula speers,6
goretti moya,6
montel figgins,6
douglas mitchell,6
carol ganley,6
fronstin,6
"recary, joseph",6
j.f.,6
brett,6
theodore leopold,6
detective 2,6
lisa,6
steven lavelle,6
m. j. epstein,6
alfredo a. rodriguez,6
daniel estes,6
tiffany rich,6
